Date,Status,Compiler,Standard library,C++ standard [1],Qt,Platform,Boost,Tests (passed/all),Comment
2023-04-15,:white_check_mark:,Clang 6.0.0,libstdc++ 7,C++17,5.9.5,x86-64,1.65.1,100 % (49/49),Ubuntu 64-bit 18.04
2023-04-15,:white_check_mark:,Clang 10.0.0,libc++ 10000,C++17,5.12.8,x86-64,1.71.0,100 % (51/51),Ubuntu 64-bit 20.04
2023-04-15,:white_check_mark:,Clang 10.0.0,libstdc++ 9,C++17,5.12.8,x86-64,1.71.0,100 % (51/51),Ubuntu 64-bit 20.04
2023-04-15,:white_check_mark:,Clang 14.0.0,libstdc++ 11,C++17,6.2.4,x86-64,1.74.0,100 % (51/51),Ubuntu 64-bit 22.04
2023-04-15,:red_circle:,Clang 14.0.0,libc++ 14000,C++17,6.2.4,x86-64,1.74.0,N/A,"Ubuntu 64-bit 22.04. Causes linker errors from QMetaType. For details, see error messages in a [separate file](misc/dfgTestQt_Clang14_libc++_Qt_624_linker_errors.txt)"
2023-04-15,:white_check_mark:,"clang-cl (Clang 15.0.1, MSVC2022.5)",MSVC,C++17,6.4.1,x86-64,1.70.0,100 % (51/51),
2023-04-15,:white_check_mark:,GCC 7.5.0,libstdc++ 7,C++17,5.9.5,x86-64,1.65.1,100 % (49/49),Ubuntu 64-bit 18.04
2023-04-15,:white_check_mark:,GCC 9.4.0,libstdc++ 9,C++17,5.12.8,x86-64,1.71.0,100 % (51/51),Ubuntu 64-bit 20.04
2023-04-15,:white_check_mark:,GCC 11.3.0,libstdc++ 11,C++17,6.2.4,x86-64,1.74.0,100 % (51/51),Ubuntu 64-bit 22.04
2023-04-15,:white_check_mark:,MinGW 7.3.0,libstdc++ 7,C++17,5.13.1,x86-64,1.70.0,100 % (51/51),
2023-04-15,:white_check_mark:,MinGW 11.2.0,libstdc++ 11,C++17,6.4.1,x86-64,1.70.0,100 % (51/51),
2023-04-15,:white_check_mark:,VC2019.11,MSVC,C++17,5.9.8,x86-64,1.70.0,100 % (49/49),
2023-04-15,:white_check_mark:,VC2019.11,MSVC,C++17,5.15.2,x86-64,1.70.0,100 % (51/51),
2023-04-15,:white_check_mark:,VC2022.5,MSVC,C++17,6.4.1,x86-64,1.70.0,100 % (51/51),
2023-04-15,:white_check_mark:,VC2022.5,MSVC,C++20,6.4.1,x86-64,1.70.0,100 % (51/51),
